label	pos	layer	type	output	weights	qtypes	engine	rel_l2_vs_ref	cos_vs_ref
p4	0	16	linear_gated_deltanet	linear_attn_out-16	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	0	16	linear_gated_deltanet	ffn_out-16	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.025803	0.999667
p4	0	16	linear_gated_deltanet	ffn_out-16	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.025146	0.999687
p4	0	17	linear_gated_deltanet	z-17	attn_gate.weight	Q4_K	llama	0.010837	0.999941
p4	0	17	linear_gated_deltanet	z-17	attn_gate.weight	Q4_K	apr	0.011922	0.999931
p4	0	17	linear_gated_deltanet	linear_attn_out-17	ssm_out.weight	Q5_K	llama	0.029714	0.999561
p4	0	17	linear_gated_deltanet	linear_attn_out-17	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	0	17	linear_gated_deltanet	ffn_out-17	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.027965	0.999613
p4	0	17	linear_gated_deltanet	ffn_out-17	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.019316	0.999814
p4	0	20	linear_gated_deltanet	z-20	attn_gate.weight	Q4_K	llama	0.013164	0.999915
p4	0	20	linear_gated_deltanet	z-20	attn_gate.weight	Q4_K	apr	0.014706	0.999898
p4	0	20	linear_gated_deltanet	linear_attn_out-20	ssm_out.weight	Q5_K	llama	0.031900	0.999491
p4	0	20	linear_gated_deltanet	linear_attn_out-20	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	0	20	linear_gated_deltanet	ffn_out-20	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.023527	0.999725
p4	0	20	linear_gated_deltanet	ffn_out-20	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.019740	0.999806
p4	0	21	linear_gated_deltanet	z-21	attn_gate.weight	Q4_K	llama	0.012143	0.999928
p4	0	21	linear_gated_deltanet	z-21	attn_gate.weight	Q4_K	apr	0.014340	0.999898
p4	0	21	linear_gated_deltanet	linear_attn_out-21	ssm_out.weight	Q5_K	llama	0.027088	0.999637
p4	0	21	linear_gated_deltanet	linear_attn_out-21	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	0	21	linear_gated_deltanet	ffn_out-21	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.028184	0.999603
p4	0	21	linear_gated_deltanet	ffn_out-21	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.017842	0.999846
p4	0	23	full_attention	attn_output-23	attn_output.weight	Q4_K	llama	0.035229	0.999380
p4	0	23	full_attention	attn_output-23	attn_output.weight	Q4_K	apr	0.037128	0.999314
p4	0	23	full_attention	ffn_out-23	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.032245	0.999545
p4	0	23	full_attention	ffn_out-23	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.027979	0.999622
p4	1	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	llama	0.005277	0.999987
p4	1	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	apr	0.005277	0.999987
p4	1	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	llama	0.041157	0.999154
p4	1	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	1	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.018996	0.999821
p4	1	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.009154	0.999958
p4	1	3	full_attention	attn_output-3	attn_output.weight	Q4_K	llama	0.036207	0.999346
p4	1	3	full_attention	attn_output-3	attn_output.weight	Q4_K	apr	0.040553	0.999182
p4	1	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.021638	0.999766
p4	1	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.021960	0.999762
p4	1	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	llama	0.004361	0.999991
p4	1	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	apr	0.004819	0.999989
p4	1	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	llama	0.030034	0.999549
p4	1	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	1	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.018264	0.999833
p4	1	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.018521	0.999830
p4	1	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	llama	0.003750	0.999993
p4	1	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	apr	0.003710	0.999993
p4	1	12	linear_gated_deltanet	linear_attn_out-12	ssm_out.weight	Q5_K	llama	0.042099	0.999116
p4	1	12	linear_gated_deltanet	linear_attn_out-12	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	1	12	linear_gated_deltanet	ffn_out-12	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.016680	0.999862
p4	1	12	linear_gated_deltanet	ffn_out-12	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.017357	0.999850
p4	1	16	linear_gated_deltanet	z-16	attn_gate.weight	Q4_K	llama	0.004613	0.999990
p4	1	16	linear_gated_deltanet	z-16	attn_gate.weight	Q4_K	apr	0.004726	0.999989
p4	1	16	linear_gated_deltanet	linear_attn_out-16	ssm_out.weight	Q5_K	llama	0.045547	0.998962
p4	1	16	linear_gated_deltanet	linear_attn_out-16	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	1	16	linear_gated_deltanet	ffn_out-16	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.018222	0.999834
p4	1	16	linear_gated_deltanet	ffn_out-16	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.019001	0.999825
p4	1	17	linear_gated_deltanet	z-17	attn_gate.weight	Q4_K	llama	0.004713	0.999989
p4	1	17	linear_gated_deltanet	z-17	attn_gate.weight	Q4_K	apr	0.004077	0.999992
p4	1	17	linear_gated_deltanet	linear_attn_out-17	ssm_out.weight	Q5_K	llama	0.031356	0.999508
p4	1	17	linear_gated_deltanet	linear_attn_out-17	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	1	17	linear_gated_deltanet	ffn_out-17	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.020008	0.999800
p4	1	17	linear_gated_deltanet	ffn_out-17	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.007697	0.999970
p4	1	20	linear_gated_deltanet	z-20	attn_gate.weight	Q4_K	llama	0.004577	0.999990
p4	1	20	linear_gated_deltanet	z-20	attn_gate.weight	Q4_K	apr	0.005189	0.999987
p4	1	20	linear_gated_deltanet	linear_attn_out-20	ssm_out.weight	Q5_K	llama	0.020615	0.999788
p4	1	20	linear_gated_deltanet	linear_attn_out-20	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	1	20	linear_gated_deltanet	ffn_out-20	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.018936	0.999821
p4	1	20	linear_gated_deltanet	ffn_out-20	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.007868	0.999970
p4	1	21	linear_gated_deltanet	z-21	attn_gate.weight	Q4_K	llama	0.005232	0.999986
p4	1	21	linear_gated_deltanet	z-21	attn_gate.weight	Q4_K	apr	0.005685	0.999984
p4	1	21	linear_gated_deltanet	linear_attn_out-21	ssm_out.weight	Q5_K	llama	0.021742	0.999764
p4	1	21	linear_gated_deltanet	linear_attn_out-21	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	1	21	linear_gated_deltanet	ffn_out-21	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.019409	0.999814
p4	1	21	linear_gated_deltanet	ffn_out-21	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.009503	0.999955
p4	1	23	full_attention	attn_output-23	attn_output.weight	Q4_K	llama	0.023194	0.999732
p4	1	23	full_attention	attn_output-23	attn_output.weight	Q4_K	apr	0.024501	0.999701
p4	1	23	full_attention	ffn_out-23	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.011297	0.999937
p4	1	23	full_attention	ffn_out-23	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.006765	0.999977
p4	2	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	llama	0.005046	0.999987
p4	2	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	apr	0.005046	0.999987
p4	2	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	llama	0.042120	0.999134
p4	2	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	2	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.024703	0.999698
p4	2	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.015924	0.999874
p4	2	3	full_attention	attn_output-3	attn_output.weight	Q4_K	llama	0.031214	0.999515
p4	2	3	full_attention	attn_output-3	attn_output.weight	Q4_K	apr	0.029714	0.999559
p4	2	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.020586	0.999788
p4	2	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.018575	0.999828
p4	2	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	llama	0.005527	0.999985
p4	2	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	apr	0.005413	0.999985
p4	2	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	llama	0.022640	0.999744
p4	2	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	2	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.022528	0.999748
p4	2	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.022377	0.999750
p4	2	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	llama	0.005545	0.999986
p4	2	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	apr	0.005431	0.999986
p4	2	12	linear_gated_deltanet	linear_attn_out-12	ssm_out.weight	Q5_K	llama	0.043974	0.999033
p4	2	12	linear_gated_deltanet	linear_attn_out-12	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	2	12	linear_gated_deltanet	ffn_out-12	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.018212	0.999836
p4	2	12	linear_gated_deltanet	ffn_out-12	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.018011	0.999838
p4	2	16	linear_gated_deltanet	z-16	attn_gate.weight	Q4_K	llama	0.005675	0.999985
p4	2	16	linear_gated_deltanet	z-16	attn_gate.weight	Q4_K	apr	0.005864	0.999983
p4	2	16	linear_gated_deltanet	linear_attn_out-16	ssm_out.weight	Q5_K	llama	0.040909	0.999169
p4	2	16	linear_gated_deltanet	linear_attn_out-16	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	2	16	linear_gated_deltanet	ffn_out-16	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.028629	0.999596
p4	2	16	linear_gated_deltanet	ffn_out-16	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.028365	0.999598
p4	2	17	linear_gated_deltanet	z-17	attn_gate.weight	Q4_K	llama	0.005251	0.999987
p4	2	17	linear_gated_deltanet	z-17	attn_gate.weight	Q4_K	apr	0.005017	0.999987
p4	2	17	linear_gated_deltanet	linear_attn_out-17	ssm_out.weight	Q5_K	llama	0.030604	0.999533
p4	2	17	linear_gated_deltanet	linear_attn_out-17	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	2	17	linear_gated_deltanet	ffn_out-17	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.022047	0.999758
p4	2	17	linear_gated_deltanet	ffn_out-17	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.008978	0.999960
p4	2	20	linear_gated_deltanet	z-20	attn_gate.weight	Q4_K	llama	0.006121	0.999982
p4	2	20	linear_gated_deltanet	z-20	attn_gate.weight	Q4_K	apr	0.006441	0.999980
p4	2	20	linear_gated_deltanet	linear_attn_out-20	ssm_out.weight	Q5_K	llama	0.045189	0.998981
p4	2	20	linear_gated_deltanet	linear_attn_out-20	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	2	20	linear_gated_deltanet	ffn_out-20	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.021731	0.999764
p4	2	20	linear_gated_deltanet	ffn_out-20	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.013800	0.999905
p4	2	21	linear_gated_deltanet	z-21	attn_gate.weight	Q4_K	llama	0.007455	0.999972
p4	2	21	linear_gated_deltanet	z-21	attn_gate.weight	Q4_K	apr	0.007671	0.999971
p4	2	21	linear_gated_deltanet	linear_attn_out-21	ssm_out.weight	Q5_K	llama	0.021815	0.999762
p4	2	21	linear_gated_deltanet	linear_attn_out-21	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	2	21	linear_gated_deltanet	ffn_out-21	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.020702	0.999787
p4	2	21	linear_gated_deltanet	ffn_out-21	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.012718	0.999919
p4	2	23	full_attention	attn_output-23	attn_output.weight	Q4_K	llama	0.037069	0.999313
p4	2	23	full_attention	attn_output-23	attn_output.weight	Q4_K	apr	0.033139	0.999451
p4	2	23	full_attention	ffn_out-23	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.017881	0.999841
p4	2	23	full_attention	ffn_out-23	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.007444	0.999974
p4	3	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	llama	0.004775	0.999989
p4	3	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	apr	0.004775	0.999989
p4	3	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	llama	0.035991	0.999354
p4	3	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	3	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.023540	0.999725
p4	3	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.017324	0.999852
p4	3	3	full_attention	attn_output-3	attn_output.weight	Q4_K	llama	0.035672	0.999366
p4	3	3	full_attention	attn_output-3	attn_output.weight	Q4_K	apr	0.037044	0.999317
p4	3	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.019859	0.999804
p4	3	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.019011	0.999820
p4	3	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	llama	0.007025	0.999976
p4	3	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	apr	0.005918	0.999983
p4	3	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	llama	0.024794	0.999694
p4	3	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	3	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.021549	0.999769
p4	3	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.022236	0.999753
p4	3	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	llama	0.005452	0.999985
p4	3	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	apr	0.005272	0.999986
p4	3	12	linear_gated_deltanet	linear_attn_out-12	ssm_out.weight	Q5_K	llama	0.026728	0.999643
p4	3	12	linear_gated_deltanet	linear_attn_out-12	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	3	12	linear_gated_deltanet	ffn_out-12	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.020660	0.999787
p4	3	12	linear_gated_deltanet	ffn_out-12	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.019339	0.999813
p4	3	16	linear_gated_deltanet	z-16	attn_gate.weight	Q4_K	llama	0.005197	0.999988
p4	3	16	linear_gated_deltanet	z-16	attn_gate.weight	Q4_K	apr	0.005881	0.999984
p4	3	16	linear_gated_deltanet	linear_attn_out-16	ssm_out.weight	Q5_K	llama	0.026687	0.999644
p4	3	16	linear_gated_deltanet	linear_attn_out-16	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	3	16	linear_gated_deltanet	ffn_out-16	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.018979	0.999821
p4	3	16	linear_gated_deltanet	ffn_out-16	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.019642	0.999807
p4	3	17	linear_gated_deltanet	z-17	attn_gate.weight	Q4_K	llama	0.005673	0.999984
p4	3	17	linear_gated_deltanet	z-17	attn_gate.weight	Q4_K	apr	0.006034	0.999982
p4	3	17	linear_gated_deltanet	linear_attn_out-17	ssm_out.weight	Q5_K	llama	0.025518	0.999675
p4	3	17	linear_gated_deltanet	linear_attn_out-17	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	3	17	linear_gated_deltanet	ffn_out-17	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.023090	0.999737
p4	3	17	linear_gated_deltanet	ffn_out-17	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.009482	0.999955
p4	3	20	linear_gated_deltanet	z-20	attn_gate.weight	Q4_K	llama	0.008340	0.999970
p4	3	20	linear_gated_deltanet	z-20	attn_gate.weight	Q4_K	apr	0.008924	0.999962
p4	3	20	linear_gated_deltanet	linear_attn_out-20	ssm_out.weight	Q5_K	llama	0.063286	0.998011
p4	3	20	linear_gated_deltanet	linear_attn_out-20	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	3	20	linear_gated_deltanet	ffn_out-20	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.020588	0.999788
p4	3	20	linear_gated_deltanet	ffn_out-20	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.016401	0.999866
p4	3	21	linear_gated_deltanet	z-21	attn_gate.weight	Q4_K	llama	0.008971	0.999962
p4	3	21	linear_gated_deltanet	z-21	attn_gate.weight	Q4_K	apr	0.008769	0.999963
p4	3	21	linear_gated_deltanet	linear_attn_out-21	ssm_out.weight	Q5_K	llama	0.021759	0.999767
p4	3	21	linear_gated_deltanet	linear_attn_out-21	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	3	21	linear_gated_deltanet	ffn_out-21	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.024574	0.999699
p4	3	21	linear_gated_deltanet	ffn_out-21	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.012384	0.999923
p4	3	23	full_attention	attn_output-23	attn_output.weight	Q4_K	llama	0.035502	0.999370
p4	3	23	full_attention	attn_output-23	attn_output.weight	Q4_K	apr	0.038472	0.999262
p4	3	23	full_attention	ffn_out-23	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.015760	0.999877
p4	3	23	full_attention	ffn_out-23	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.010389	0.999957
orig	4	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	llama	0.006506	0.999979
orig	4	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	apr	0.006506	0.999979
orig	4	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	llama	0.034146	0.999417
orig	4	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	apr	0.000001	1.000000
orig	4	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.024662	0.999696
orig	4	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.017292	0.999851
orig	4	3	full_attention	attn_output-3	attn_output.weight	Q4_K	llama	0.032052	0.999487
orig	4	3	full_attention	attn_output-3	attn_output.weight	Q4_K	apr	0.032655	0.999467
orig	4	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.018129	0.999836
orig	4	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.017209	0.999853
orig	4	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	llama	0.006514	0.999979
orig	4	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	apr	0.007240	0.999981
orig	4	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	llama	0.023714	0.999722
orig	4	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	apr	0.000001	1.000000
orig	4	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.021925	0.999762
orig	4	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.019934	0.999802
orig	4	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	llama	0.005412	0.999986
orig	4	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	apr	0.006061	0.999982
orig	4	12	linear_gated_deltanet	linear_attn_out-12	ssm_out.weight	Q5_K	llama	0.026596	0.999647
