name	op	type	ne_at_first_sight
beta-0	RESHAPE	f32	1x16x1x1
beta_sigmoid-0	SIGMOID	f32	1x16x1x1
state_predelta-0	RESHAPE	f32	128x128x16x1
node_46	GATED_DELTA_NET	f32	2048x129x1x1
new_state-0	VIEW	f32	128x128x16x1
cache_s_l0 (view) (copy of new_state-0)	CPY	f32	262144x1x1x1
attn_output-0	VIEW	f32	128x16x1x1
node_52	MUL	f32	128x16x1x1
z-0	MUL_MAT	f32	2048x1x1x1
z-0 (reshaped)	RESHAPE	f32	128x16x1x1
node_55	SILU	f32	128x16x1x1
node_56	MUL	f32	128x16x1x1
final_output-0	RESHAPE	f32	2048x1x1x1
linear_attn_out-0	MUL_MAT	f32	1024x1x1x1
linear_attn_out-0 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-0	ADD	f32	1024x1x1x1
attn_post_norm-0	MUL	f32	1024x1x1x1
ffn_gate-0	MUL_MAT	f32	3584x1x1x1
ffn_up-0	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-0	SWIGLU	f32	3584x1x1x1
ffn_out-0	MUL_MAT	f32	1024x1x1x1
l_out-0	ADD	f32	1024x1x1x1
norm-1	RMS_NORM	f32	1024x1x1x1
attn_norm-1	MUL	f32	1024x1x1x1
cache_r_l1 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l1 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l1 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-1	GET_ROWS	f32	18432x1x1x1
node_74	GET_ROWS	f32	18432x0x1x1
cache_r_l1 (view)	VIEW	f32	18432x0x1x1
cache_r_l1 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-1	RESHAPE	f32	3x6144x1x1
node_78	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-1	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-1	TRANSPOSE	f32	1x6144x1x1
conv_input-1	CONCAT	f32	4x6144x1x1
conv_state_last-1	VIEW	f32	3x6144x1x1
conv_state_update-1	VIEW	f32	18432x1x1x1
conv_state_update-1 (copy of conv_state_last-1)	CPY	f32	18432x1x1x1
cache_s_l1 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l1 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l1 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_88	GET_ROWS	f32	262144x1x1x1
node_89	GET_ROWS	f32	262144x0x1x1
cache_s_l1 (view)	VIEW	f32	262144x0x1x1
cache_s_l1 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-1	SSM_CONV	f32	6144x1x1x1
conv_output_silu-1	SILU	f32	6144x1x1x1
q_conv-1	VIEW	f32	128x16x1x1
node_95	RMS_NORM	f32	128x16x1x1
q_conv_predelta-1	SCALE	f32	128x16x1x1
k_conv-1	VIEW	f32	128x16x1x1
node_98	RMS_NORM	f32	128x16x1x1
k_conv_predelta-1	SCALE	f32	128x16x1x1
v_conv_predelta-1	VIEW	f32	128x16x1x1
node_101	MUL_MAT	f32	16x1x1x1
alpha-1	RESHAPE	f32	16x1x1x1
node_103	ADD	f32	16x1x1x1
a_softplus-1	SOFTPLUS	f32	16x1x1x1
gate-1	MUL	f32	16x1x1x1
gate-1 (reshaped)	RESHAPE	f32	1x16x1x1
node_107	MUL_MAT	f32	16x1x1x1
beta-1	RESHAPE	f32	1x16x1x1
beta_sigmoid-1	SIGMOID	f32	1x16x1x1
state_predelta-1	RESHAPE	f32	128x128x16x1
node_111	GATED_DELTA_NET	f32	2048x129x1x1
new_state-1	VIEW	f32	128x128x16x1
cache_s_l1 (view) (copy of new_state-1)	CPY	f32	262144x1x1x1
attn_output-1	VIEW	f32	128x16x1x1
node_117	MUL	f32	128x16x1x1
z-1	MUL_MAT	f32	2048x1x1x1
z-1 (reshaped)	RESHAPE	f32	128x16x1x1
node_120	SILU	f32	128x16x1x1
node_121	MUL	f32	128x16x1x1
final_output-1	RESHAPE	f32	2048x1x1x1
linear_attn_out-1	MUL_MAT	f32	1024x1x1x1
linear_attn_out-1 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-1	ADD	f32	1024x1x1x1
attn_post_norm-1	MUL	f32	1024x1x1x1
ffn_gate-1	MUL_MAT	f32	3584x1x1x1
ffn_up-1	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-1	SWIGLU	f32	3584x1x1x1
ffn_out-1	MUL_MAT	f32	1024x1x1x1
l_out-1	ADD	f32	1024x1x1x1
norm-2	RMS_NORM	f32	1024x1x1x1
attn_norm-2	MUL	f32	1024x1x1x1
cache_r_l2 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l2 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l2 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-2	GET_ROWS	f32	18432x1x1x1
node_139	GET_ROWS	f32	18432x0x1x1
cache_r_l2 (view)	VIEW	f32	18432x0x1x1
cache_r_l2 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-2	RESHAPE	f32	3x6144x1x1
node_143	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-2	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-2	TRANSPOSE	f32	1x6144x1x1
conv_input-2	CONCAT	f32	4x6144x1x1
conv_state_last-2	VIEW	f32	3x6144x1x1
conv_state_update-2	VIEW	f32	18432x1x1x1
conv_state_update-2 (copy of conv_state_last-2)	CPY	f32	18432x1x1x1
cache_s_l2 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l2 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l2 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_153	GET_ROWS	f32	262144x1x1x1
node_154	GET_ROWS	f32	262144x0x1x1
cache_s_l2 (view)	VIEW	f32	262144x0x1x1
cache_s_l2 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-2	SSM_CONV	f32	6144x1x1x1
conv_output_silu-2	SILU	f32	6144x1x1x1
q_conv-2	VIEW	f32	128x16x1x1
node_160	RMS_NORM	f32	128x16x1x1
q_conv_predelta-2	SCALE	f32	128x16x1x1
k_conv-2	VIEW	f32	128x16x1x1
node_163	RMS_NORM	f32	128x16x1x1
k_conv_predelta-2	SCALE	f32	128x16x1x1
v_conv_predelta-2	VIEW	f32	128x16x1x1
node_166	MUL_MAT	f32	16x1x1x1
alpha-2	RESHAPE	f32	16x1x1x1
node_168	ADD	f32	16x1x1x1
a_softplus-2	SOFTPLUS	f32	16x1x1x1
gate-2	MUL	f32	16x1x1x1
gate-2 (reshaped)	RESHAPE	f32	1x16x1x1
node_172	MUL_MAT	f32	16x1x1x1
beta-2	RESHAPE	f32	1x16x1x1
beta_sigmoid-2	SIGMOID	f32	1x16x1x1
state_predelta-2	RESHAPE	f32	128x128x16x1
node_176	GATED_DELTA_NET	f32	2048x129x1x1
new_state-2	VIEW	f32	128x128x16x1
cache_s_l2 (view) (copy of new_state-2)	CPY	f32	262144x1x1x1
attn_output-2	VIEW	f32	128x16x1x1
node_182	MUL	f32	128x16x1x1
z-2	MUL_MAT	f32	2048x1x1x1
z-2 (reshaped)	RESHAPE	f32	128x16x1x1
node_185	SILU	f32	128x16x1x1
node_186	MUL	f32	128x16x1x1
final_output-2	RESHAPE	f32	2048x1x1x1
linear_attn_out-2	MUL_MAT	f32	1024x1x1x1
linear_attn_out-2 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-2	ADD	f32	1024x1x1x1
attn_post_norm-2	MUL	f32	1024x1x1x1
ffn_gate-2	MUL_MAT	f32	3584x1x1x1
ffn_up-2	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-2	SWIGLU	f32	3584x1x1x1
ffn_out-2	MUL_MAT	f32	1024x1x1x1
l_out-2	ADD	f32	1024x1x1x1
norm-3	RMS_NORM	f32	1024x1x1x1
attn_norm-3	MUL	f32	1024x1x1x1
Qcur_full-3	MUL_MAT	f32	4096x1x1x1
Qcur_reshaped-3	VIEW	f32	256x8x1x1
Qcur_normed-3	MUL	f32	256x8x1x1
Qcur-3	ROPE	f32	256x8x1x1
Vcur-3	MUL_MAT	f32	512x1x1x1
Kcur-3	MUL_MAT	f32	512x1x1x1
Kcur-3 (reshaped)	RESHAPE	f32	256x2x1x1
Kcur_normed-3	MUL	f32	256x2x1x1
Kcur-3 (view)	VIEW	f32	512x1x1x1
cache_k_l3 (view)	SET_ROWS	f16	512x256x1x1
Vcur-3 (view)	VIEW	f32	512x1x1x1
cache_v_l3 (view)	SET_ROWS	f16	512x256x1x1
Qcur-3 (view)	VIEW	f32	256x8x1x1
Qcur-3 (view) (permuted)	PERMUTE	f32	256x1x8x1
cache_k_l3 (view) (permuted)	PERMUTE	f16	256x256x2x1
cache_v_l3 (view) (permuted)	PERMUTE	f16	256x256x2x1
node_222	FLASH_ATTN_EXT	f32	256x8x1x1
attn_pregate-3	RESHAPE	f32	2048x1x1x1
Qcur_full-3 (view)	VIEW	f32	256x8x1x1
gate_reshaped-3	CONT	f32	2048x1x1x1
gate_sigmoid-3	SIGMOID	f32	2048x1x1x1
attn_gated-3	MUL	f32	2048x1x1x1
attn_output-3	MUL_MAT	f32	1024x1x1x1
attn_residual-3	ADD	f32	1024x1x1x1
attn_post_norm-3	MUL	f32	1024x1x1x1
ffn_gate-3	MUL_MAT	f32	3584x1x1x1
ffn_up-3	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-3	SWIGLU	f32	3584x1x1x1
ffn_out-3	MUL_MAT	f32	1024x1x1x1
l_out-3	ADD	f32	1024x1x1x1
norm-4	RMS_NORM	f32	1024x1x1x1
attn_norm-4	MUL	f32	1024x1x1x1
cache_r_l4 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l4 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l4 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-4	GET_ROWS	f32	18432x1x1x1
node_243	GET_ROWS	f32	18432x0x1x1
cache_r_l4 (view)	VIEW	f32	18432x0x1x1
cache_r_l4 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-4	RESHAPE	f32	3x6144x1x1
node_247	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-4	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-4	TRANSPOSE	f32	1x6144x1x1
conv_input-4	CONCAT	f32	4x6144x1x1
conv_state_last-4	VIEW	f32	3x6144x1x1
conv_state_update-4	VIEW	f32	18432x1x1x1
conv_state_update-4 (copy of conv_state_last-4)	CPY	f32	18432x1x1x1
cache_s_l4 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l4 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l4 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_257	GET_ROWS	f32	262144x1x1x1
node_258	GET_ROWS	f32	262144x0x1x1
cache_s_l4 (view)	VIEW	f32	262144x0x1x1
cache_s_l4 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-4	SSM_CONV	f32	6144x1x1x1
conv_output_silu-4	SILU	f32	6144x1x1x1
q_conv-4	VIEW	f32	128x16x1x1
node_264	RMS_NORM	f32	128x16x1x1
q_conv_predelta-4	SCALE	f32	128x16x1x1
k_conv-4	VIEW	f32	128x16x1x1
node_267	RMS_NORM	f32	128x16x1x1
k_conv_predelta-4	SCALE	f32	128x16x1x1
v_conv_predelta-4	VIEW	f32	128x16x1x1
node_270	MUL_MAT	f32	16x1x1x1
alpha-4	RESHAPE	f32	16x1x1x1
node_272	ADD	f32	16x1x1x1
a_softplus-4	SOFTPLUS	f32	16x1x1x1
gate-4	MUL	f32	16x1x1x1
gate-4 (reshaped)	RESHAPE	f32	1x16x1x1
node_276	MUL_MAT	f32	16x1x1x1
beta-4	RESHAPE	f32	1x16x1x1
beta_sigmoid-4	SIGMOID	f32	1x16x1x1
state_predelta-4	RESHAPE	f32	128x128x16x1
node_280	GATED_DELTA_NET	f32	2048x129x1x1
new_state-4	VIEW	f32	128x128x16x1
cache_s_l4 (view) (copy of new_state-4)	CPY	f32	262144x1x1x1
attn_output-4	VIEW	f32	128x16x1x1
node_286	MUL	f32	128x16x1x1
z-4	MUL_MAT	f32	2048x1x1x1
z-4 (reshaped)	RESHAPE	f32	128x16x1x1
node_289	SILU	f32	128x16x1x1
node_290	MUL	f32	128x16x1x1
final_output-4	RESHAPE	f32	2048x1x1x1
linear_attn_out-4	MUL_MAT	f32	1024x1x1x1
linear_attn_out-4 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-4	ADD	f32	1024x1x1x1
attn_post_norm-4	MUL	f32	1024x1x1x1
ffn_gate-4	MUL_MAT	f32	3584x1x1x1
ffn_up-4	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-4	SWIGLU	f32	3584x1x1x1
ffn_out-4	MUL_MAT	f32	1024x1x1x1
l_out-4	ADD	f32	1024x1x1x1
norm-5	RMS_NORM	f32	1024x1x1x1
attn_norm-5	MUL	f32	1024x1x1x1
cache_r_l5 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l5 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l5 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-5	GET_ROWS	f32	18432x1x1x1
node_308	GET_ROWS	f32	18432x0x1x1
cache_r_l5 (view)	VIEW	f32	18432x0x1x1
cache_r_l5 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-5	RESHAPE	f32	3x6144x1x1
node_312	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-5	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-5	TRANSPOSE	f32	1x6144x1x1
conv_input-5	CONCAT	f32	4x6144x1x1
conv_state_last-5	VIEW	f32	3x6144x1x1
conv_state_update-5	VIEW	f32	18432x1x1x1
conv_state_update-5 (copy of conv_state_last-5)	CPY	f32	18432x1x1x1
cache_s_l5 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l5 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l5 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_322	GET_ROWS	f32	262144x1x1x1
node_323	GET_ROWS	f32	262144x0x1x1
cache_s_l5 (view)	VIEW	f32	262144x0x1x1
cache_s_l5 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-5	SSM_CONV	f32	6144x1x1x1
conv_output_silu-5	SILU	f32	6144x1x1x1
q_conv-5	VIEW	f32	128x16x1x1
node_329	RMS_NORM	f32	128x16x1x1
q_conv_predelta-5	SCALE	f32	128x16x1x1
k_conv-5	VIEW	f32	128x16x1x1
node_332	RMS_NORM	f32	128x16x1x1
k_conv_predelta-5	SCALE	f32	128x16x1x1
v_conv_predelta-5	VIEW	f32	128x16x1x1
node_335	MUL_MAT	f32	16x1x1x1
alpha-5	RESHAPE	f32	16x1x1x1
node_337	ADD	f32	16x1x1x1
a_softplus-5	SOFTPLUS	f32	16x1x1x1
gate-5	MUL	f32	16x1x1x1
gate-5 (reshaped)	RESHAPE	f32	1x16x1x1
node_341	MUL_MAT	f32	16x1x1x1
beta-5	RESHAPE	f32	1x16x1x1
beta_sigmoid-5	SIGMOID	f32	1x16x1x1
state_predelta-5	RESHAPE	f32	128x128x16x1
node_345	GATED_DELTA_NET	f32	2048x129x1x1
new_state-5	VIEW	f32	128x128x16x1
cache_s_l5 (view) (copy of new_state-5)	CPY	f32	262144x1x1x1
attn_output-5	VIEW	f32	128x16x1x1
node_351	MUL	f32	128x16x1x1
z-5	MUL_MAT	f32	2048x1x1x1
z-5 (reshaped)	RESHAPE	f32	128x16x1x1
node_354	SILU	f32	128x16x1x1
node_355	MUL	f32	128x16x1x1
final_output-5	RESHAPE	f32	2048x1x1x1
linear_attn_out-5	MUL_MAT	f32	1024x1x1x1
linear_attn_out-5 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-5	ADD	f32	1024x1x1x1
attn_post_norm-5	MUL	f32	1024x1x1x1
ffn_gate-5	MUL_MAT	f32	3584x1x1x1
ffn_up-5	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-5	SWIGLU	f32	3584x1x1x1
ffn_out-5	MUL_MAT	f32	1024x1x1x1
l_out-5	ADD	f32	1024x1x1x1
norm-6	RMS_NORM	f32	1024x1x1x1
attn_norm-6	MUL	f32	1024x1x1x1
cache_r_l6 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l6 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l6 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-6	GET_ROWS	f32	18432x1x1x1
node_373	GET_ROWS	f32	18432x0x1x1
cache_r_l6 (view)	VIEW	f32	18432x0x1x1
cache_r_l6 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-6	RESHAPE	f32	3x6144x1x1
node_377	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-6	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-6	TRANSPOSE	f32	1x6144x1x1
conv_input-6	CONCAT	f32	4x6144x1x1
conv_state_last-6	VIEW	f32	3x6144x1x1
conv_state_update-6	VIEW	f32	18432x1x1x1
conv_state_update-6 (copy of conv_state_last-6)	CPY	f32	18432x1x1x1
cache_s_l6 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l6 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l6 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_387	GET_ROWS	f32	262144x1x1x1
node_388	GET_ROWS	f32	262144x0x1x1
cache_s_l6 (view)	VIEW	f32	262144x0x1x1
cache_s_l6 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-6	SSM_CONV	f32	6144x1x1x1
conv_output_silu-6	SILU	f32	6144x1x1x1
q_conv-6	VIEW	f32	128x16x1x1
node_394	RMS_NORM	f32	128x16x1x1
q_conv_predelta-6	SCALE	f32	128x16x1x1
k_conv-6	VIEW	f32	128x16x1x1
node_397	RMS_NORM	f32	128x16x1x1
k_conv_predelta-6	SCALE	f32	128x16x1x1
v_conv_predelta-6	VIEW	f32	128x16x1x1
node_400	MUL_MAT	f32	16x1x1x1
alpha-6	RESHAPE	f32	16x1x1x1
node_402	ADD	f32	16x1x1x1
a_softplus-6	SOFTPLUS	f32	16x1x1x1
gate-6	MUL	f32	16x1x1x1
gate-6 (reshaped)	RESHAPE	f32	1x16x1x1
node_406	MUL_MAT	f32	16x1x1x1
beta-6	RESHAPE	f32	1x16x1x1
beta_sigmoid-6	SIGMOID	f32	1x16x1x1
state_predelta-6	RESHAPE	f32	128x128x16x1
node_410	GATED_DELTA_NET	f32	2048x129x1x1
new_state-6	VIEW	f32	128x128x16x1
cache_s_l6 (view) (copy of new_state-6)	CPY	f32	262144x1x1x1
attn_output-6	VIEW	f32	128x16x1x1
node_416	MUL	f32	128x16x1x1
z-6	MUL_MAT	f32	2048x1x1x1
z-6 (reshaped)	RESHAPE	f32	128x16x1x1
node_419	SILU	f32	128x16x1x1
node_420	MUL	f32	128x16x1x1
final_output-6	RESHAPE	f32	2048x1x1x1
linear_attn_out-6	MUL_MAT	f32	1024x1x1x1
linear_attn_out-6 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-6	ADD	f32	1024x1x1x1
attn_post_norm-6	MUL	f32	1024x1x1x1
ffn_gate-6	MUL_MAT	f32	3584x1x1x1
ffn_up-6	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-6	SWIGLU	f32	3584x1x1x1
ffn_out-6	MUL_MAT	f32	1024x1x1x1
l_out-6	ADD	f32	1024x1x1x1
norm-7	RMS_NORM	f32	1024x1x1x1
attn_norm-7	MUL	f32	1024x1x1x1
Qcur_full-7	MUL_MAT	f32	4096x1x1x1
Qcur_reshaped-7	VIEW	f32	256x8x1x1
Qcur_normed-7	MUL	f32	256x8x1x1
Qcur-7	ROPE	f32	256x8x1x1
Vcur-7	MUL_MAT	f32	512x1x1x1
Kcur-7	MUL_MAT	f32	512x1x1x1
Kcur-7 (reshaped)	RESHAPE	f32	256x2x1x1
Kcur_normed-7	MUL	f32	256x2x1x1
Kcur-7 (view)	VIEW	f32	512x1x1x1
cache_k_l7 (view)	SET_ROWS	f16	512x256x1x1
Vcur-7 (view)	VIEW	f32	512x1x1x1
cache_v_l7 (view)	SET_ROWS	f16	512x256x1x1
Qcur-7 (view)	VIEW	f32	256x8x1x1
Qcur-7 (view) (permuted)	PERMUTE	f32	256x1x8x1
cache_k_l7 (view) (permuted)	PERMUTE	f16	256x256x2x1
cache_v_l7 (view) (permuted)	PERMUTE	f16	256x256x2x1
node_456	FLASH_ATTN_EXT	f32	256x8x1x1
attn_pregate-7	RESHAPE	f32	2048x1x1x1
Qcur_full-7 (view)	VIEW	f32	256x8x1x1
gate_reshaped-7	CONT	f32	2048x1x1x1
gate_sigmoid-7	SIGMOID	f32	2048x1x1x1
attn_gated-7	MUL	f32	2048x1x1x1
attn_output-7	MUL_MAT	f32	1024x1x1x1
attn_residual-7	ADD	f32	1024x1x1x1
attn_post_norm-7	MUL	f32	1024x1x1x1
ffn_gate-7	MUL_MAT	f32	3584x1x1x1
ffn_up-7	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-7	SWIGLU	f32	3584x1x1x1
ffn_out-7	MUL_MAT	f32	1024x1x1x1
l_out-7	ADD	f32	1024x1x1x1
norm-8	RMS_NORM	f32	1024x1x1x1
attn_norm-8	MUL	f32	1024x1x1x1
cache_r_l8 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l8 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l8 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-8	GET_ROWS	f32	18432x1x1x1
node_477	GET_ROWS	f32	18432x0x1x1
cache_r_l8 (view)	VIEW	f32	18432x0x1x1
cache_r_l8 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-8	RESHAPE	f32	3x6144x1x1
node_481	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-8	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-8	TRANSPOSE	f32	1x6144x1x1
conv_input-8	CONCAT	f32	4x6144x1x1
conv_state_last-8	VIEW	f32	3x6144x1x1
conv_state_update-8	VIEW	f32	18432x1x1x1
conv_state_update-8 (copy of conv_state_last-8)	CPY	f32	18432x1x1x1
cache_s_l8 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l8 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l8 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_491	GET_ROWS	f32	262144x1x1x1
node_492	GET_ROWS	f32	262144x0x1x1
cache_s_l8 (view)	VIEW	f32	262144x0x1x1
cache_s_l8 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-8	SSM_CONV	f32	6144x1x1x1
conv_output_silu-8	SILU	f32	6144x1x1x1
q_conv-8	VIEW	f32	128x16x1x1
node_498	RMS_NORM	f32	128x16x1x1
q_conv_predelta-8	SCALE	f32	128x16x1x1
k_conv-8	VIEW	f32	128x16x1x1
node_501	RMS_NORM	f32	128x16x1x1
k_conv_predelta-8	SCALE	f32	128x16x1x1
v_conv_predelta-8	VIEW	f32	128x16x1x1
node_504	MUL_MAT	f32	16x1x1x1
alpha-8	RESHAPE	f32	16x1x1x1
node_506	ADD	f32	16x1x1x1
a_softplus-8	SOFTPLUS	f32	16x1x1x1
gate-8	MUL	f32	16x1x1x1
gate-8 (reshaped)	RESHAPE	f32	1x16x1x1
node_510	MUL_MAT	f32	16x1x1x1
beta-8	RESHAPE	f32	1x16x1x1
beta_sigmoid-8	SIGMOID	f32	1x16x1x1
state_predelta-8	RESHAPE	f32	128x128x16x1
node_514	GATED_DELTA_NET	f32	2048x129x1x1
new_state-8	VIEW	f32	128x128x16x1
cache_s_l8 (view) (copy of new_state-8)	CPY	f32	262144x1x1x1
attn_output-8	VIEW	f32	128x16x1x1
node_520	MUL	f32	128x16x1x1
z-8	MUL_MAT	f32	2048x1x1x1
z-8 (reshaped)	RESHAPE	f32	128x16x1x1
node_523	SILU	f32	128x16x1x1
node_524	MUL	f32	128x16x1x1
final_output-8	RESHAPE	f32	2048x1x1x1
linear_attn_out-8	MUL_MAT	f32	1024x1x1x1
linear_attn_out-8 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-8	ADD	f32	1024x1x1x1
attn_post_norm-8	MUL	f32	1024x1x1x1
ffn_gate-8	MUL_MAT	f32	3584x1x1x1
ffn_up-8	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-8	SWIGLU	f32	3584x1x1x1
ffn_out-8	MUL_MAT	f32	1024x1x1x1
l_out-8	ADD	f32	1024x1x1x1
norm-9	RMS_NORM	f32	1024x1x1x1
attn_norm-9	MUL	f32	1024x1x1x1
cache_r_l9 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l9 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l9 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-9	GET_ROWS	f32	18432x1x1x1
node_542	GET_ROWS	f32	18432x0x1x1
cache_r_l9 (view)	VIEW	f32	18432x0x1x1
